,Artista,Prêmios,Filmes pelos quais foram premiados
0,"
Katharine Hepburn
","
4
","Morning Glory (1934)
Guess Who's Coming to Dinner (1968)
The Lion in Winter (1969)**
On Golden Pond (1982)"
1,"
Daniel Day-Lewis
","
3
","My Left Foot (1990)
There Will Be Blood (2008)
Lincoln (2013)"
2,"
Ingrid Bergman
","
3
","Gaslight (1945)
Anastasia (1957)
Murder on the Orient Express (1975)*"
3,"
Meryl Streep
","
3
","Kramer vs. Kramer (1980)*
Sophie's Choice (1982)
The Iron Lady (2012)"
4,"
Jack Nicholson
","
3
","One Flew Over the Cuckoo's Nest (1975)
Terms of Endearment (1983)*
As Good as It Gets (1997)"
5,"
Walter Brennan
","
3
","Come and Get It (1937)*
Kentucky (1939)*
The Westerner (1941)*"
6,"
(*) Prêmio de ator ou atriz coadjuvante/secundário.
(**) Devido a um empate o prêmio foi divido com Barbra Streisand por Funny Girl.
","
(*) Prêmio de ator ou atriz coadjuvante/secundário.
(**) Devido a um empate o prêmio foi divido com Barbra Streisand por Funny Girl.
","
(*) Prêmio de ator ou atriz coadjuvante/secundário.
(**) Devido a um empate o prêmio foi divido com Barbra Streisand por Funny Girl.
"
